檔名,緯度,經度,方位角,Roll,Pitch,altitude
277.jpg,23.8583659,120.9372645,260.0,1.79,5.34,300.87
278.jpg,23.8582487,120.9370313,255.24,2.26,3.52,300.7
279.jpg,23.8581289,120.9367933,261.39,0.8,6.15,299.52
280.jpg,23.8580207,120.9365494,254.86,2.12,5.41,300.16
281.jpg,23.8578951,120.9362980,256.4,1.18,9.53,299.37
282.jpg,23.8577863,120.9360452,254.79,2.97,3.85,301.61
283.jpg,23.8576876,120.9358142,260.73,-0.16,7.56,300.75
284.jpg,23.8575711,120.9355581,256.92,0.64,3.43,298.94
285.jpg,23.8574440,120.9353212,256.6,1.27,9.05,300.34
286.jpg,23.8573226,120.9350869,257.77,2.55,3.4,300.64
287.jpg,23.8571827,120.9348165,252.26,0.19,5.92,300.1
288.jpg,23.8570293,120.9345400,252.41,1.75,6.89,298.95
289.jpg,23.8569001,120.9342538,257.68,1.01,7.83,301.39
290.jpg,23.8567685,120.9339717,257.83,1.22,5.13,300.71
291.jpg,23.8566317,120.9336886,256.26,1.08,4.05,299.51
292.jpg,23.8565038,120.9334061,252.29,0.69,4.15,301.66
293.jpg,23.8564015,120.9331844,259.19,1.76,3.18,299.41
294.jpg,23.8562874,120.9329226,258.38,-0.01,6.9,298.88
295.jpg,23.8561661,120.9326814,256.19,0.61,6.8,299.91
296.jpg,23.8560046,120.9324725,235.8,-7.18,3.45,301.26
297.jpg,23.8557598,120.9324028,221.67,-2.88,3.18,301.8
298.jpg,23.8554775,120.9324089,211.24,0.81,2.22,301.55
299.jpg,23.8551907,120.9324540,208.08,1.1,2.66,300.39
300.jpg,23.8548844,120.9325113,213.03,1.11,2.52,301.84
301.jpg,23.8546098,120.9325650,216.87,1.46,0.25,303.07
302.jpg,23.8543359,120.9326127,214.7,0.65,-0.78,301.2
303.jpg,23.8540736,120.9326421,211.7,1.21,2.73,299.31
304.jpg,23.8538041,120.9326638,215.06,1.19,0.46,300.62
305.jpg,23.8535269,120.9327079,210.04,1.71,1.91,299.61
306.jpg,23.8532677,120.9327419,214.74,0.72,2.7,299.53
307.jpg,23.8529854,120.9327842,219.13,0.9,-1.04,301.12
308.jpg,23.8526855,120.9328233,220.02,3.94,1.99,299.12
309.jpg,23.8523746,120.9328522,212.74,2.27,2.87,297.28
310.jpg,23.8520563,120.9328762,208.02,1.23,3.59,298.38
311.jpg,23.8517999,120.9329018,209.33,0.57,3.86,299.43
312.jpg,23.8515333,120.9329354,206.36,-1.04,3.79,298.66
313.jpg,23.8512457,120.9329463,212.2,9.91,1.97,301.74
314.jpg,23.8510112,120.9328077,239.44,8.09,2.21,301.24
315.jpg,23.8508586,120.9325757,250.35,2.7,2.45,301.2
316.jpg,23.8507481,120.9322752,267.29,6.42,1.73,301.44
317.jpg,23.8507008,120.9319182,279.47,4.09,0.15,301.21
318.jpg,23.8506847,120.9315657,276.8,0.85,1.83,300.17
319.jpg,23.8506358,120.9312191,274.28,2.01,1.88,297.98
320.jpg,23.8505951,120.9308896,272.3,-0.29,3.04,299.45
321.jpg,23.8505362,120.9305396,270.58,2.48,2.74,298.49
322.jpg,23.8504740,120.9302003,269.98,0.35,4.65,298.8
323.jpg,23.8504272,120.9298925,271.98,2.24,4.51,299.93
324.jpg,23.8503687,120.9295941,272.49,1.5,1.63,300.37
325.jpg,23.8502925,120.9292486,267.62,1.09,1.17,298.99
326.jpg,23.8502164,120.9288964,266.1,-0.01,3.7,299.6
327.jpg,23.8501519,120.9285855,270.72,1.48,7.77,297.72
328.jpg,23.8500979,120.9282786,269.24,1.53,8.64,296.9
329.jpg,23.8500467,120.9279693,266.88,0.92,9.53,298.46
330.jpg,23.8499955,120.9276596,265.98,2.55,5.58,298.72
331.jpg,23.8499381,120.9273373,262.69,1.59,5.85,300.1
332.jpg,23.8499373,120.9269979,276.29,6.92,6.73,300.25
333.jpg,23.8500561,120.9266826,290.49,4.32,4.9,300.14
334.jpg,23.8502498,120.9263853,301.12,2.3,8.96,299.71
335.jpg,23.8504823,120.9261120,302.31,3.31,5.89,300.08
336.jpg,23.8507786,120.9258011,307.88,-0.53,4.57,301.46
337.jpg,23.8510263,120.9255373,309.15,1.75,5.44,301.04
338.jpg,23.8512743,120.9252810,305.26,0.47,2.96,301.26
339.jpg,23.8515629,120.9249653,306.16,1.63,3.03,300.9
340.jpg,23.8518388,120.9246728,303.93,0.35,2.78,300.52
341.jpg,23.8521128,120.9243655,303.09,1.21,1.9,300.13
